,Unit Price ($ PSF),Postal Code,Price,OnemapLongitude,OnemapLatitude
0,"1,108",828618,1108,103.898039738224,1.41004275258838
1,"1,115",828618,1115,103.898039738224,1.41004275258838
2,"1,173",544819,1173,103.890750179297,1.38110299795669
3,"1,068",544998,1068,103.891374413035,1.38189286322029
4,"1,054",828621,1054,103.897912480011,1.41045366869115
5,"1,145",828627,1145,103.898959874347,1.41069269259053
6,"1,132",544998,1132,103.891374413035,1.38189286322029
7,"1,198",579819,1198,103.852047817533,1.34752183684458
8,"1,076",828818,1076,103.904932274576,1.40117460159878
9,"1,024",828818,1024,103.904932274576,1.40117460159878
10,"1,011",529598,1011,103.928272309692,1.35052732645165
11,"1,065",828625,1065,103.899000266845,1.41022470210924
12,"1,079",544819,1079,103.890750179297,1.38110299795669
13,"1,046",828626,1046,103.89870424774,1.41086544560675
14,"1,069",828626,1069,103.89870424774,1.41086544560675
15,"1,133",545686,1133,103.878103330993,1.3727650184916
16,"1,097",545681,1097,103.877373281034,1.37345331724801
17,"1,167",545686,1167,103.878103330993,1.3727650184916
18,"1,165",545687,1165,103.877860984845,1.37280860732025
19,"1,119",544604,1119,103.877359680293,1.37288099187331
20,"1,083",545684,1083,103.878273854945,1.3732431913374
21,"1,043",828626,1043,103.89870424774,1.41086544560675
22,"1,101",828677,1101,103.897463964435,1.40985036008126
23,"1,081",545681,1081,103.877373281034,1.37345331724801
24,"1,069",828677,1069,103.897463964435,1.40985036008126
25,"1,074",544818,1074,103.890981111256,1.38095789348656
26,"1,096",828623,1096,103.898525253608,1.41041371364554
27,"1,056",828624,1056,103.898770474499,1.4103238006296
28,"1,135",545685,1135,103.878346787951,1.37272443684533
29,"1,132",828627,1132,103.898959874347,1.41069269259053
30,"1,162",544815,1162,103.891712354374,1.38160462725633
31,"1,069",828626,1069,103.89870424774,1.41086544560675
32,"1,126",544815,1126,103.891712354374,1.38160462725633
33,"1,137",544818,1137,103.890981111256,1.38095789348656
34,"1,067",828625,1067,103.899000266845,1.41022470210924
35,"1,100",828619,1100,103.898440391828,1.41000603600091
36,"1,021",828809,1021,103.904699765872,1.40067629313894
37,"1,116",544998,1116,103.891374413035,1.38189286322029
38,"1,096",544998,1096,103.891374413035,1.38189286322029
39,"1,070",828677,1070,103.897463964435,1.40985036008126
40,"1,069",828621,1069,103.897912480011,1.41045366869115
41,"1,108",828618,1108,103.898039738224,1.41004275258838
42,"1,146",828619,1146,103.898440391828,1.41000603600091
43,"1,133",828620,1133,103.898675751102,1.40980879054618
44,"1,057",828623,1057,103.898525253608,1.41041371364554
45,"1,004",528612,1004,103.939691159802,1.35997680595206
46,"1,062",828625,1062,103.899000266845,1.41022470210924
47,"1,056",828678,1056,103.897729871814,1.41004661839987
48,"1,077",828628,1077,103.899190046333,1.4105908958577
49,"1,116",828619,1116,103.898440391828,1.41000603600091
50,"1,079",828627,1079,103.898959874347,1.41069269259053
51,"1,109",544821,1109,103.89109985283,1.38158415124112
52,"1,129",544821,1129,103.89109985283,1.38158415124112
53,"1,153",544816,1153,103.891402478721,1.38127813779551
54,"1,130",828620,1130,103.898675751102,1.40980879054618
55,"1,078",828624,1078,103.898770474499,1.4103238006296
56,"1,063",828625,1063,103.899000266845,1.41022470210924
57,"1,110",828618,1110,103.898039738224,1.41004275258838
58,"1,057",828626,1057,103.89870424774,1.41086544560675
59,"1,128",544998,1128,103.891374413035,1.38189286322029
60,"1,021",828817,1021,103.904338396376,1.40148828471593
61,"1,007",529603,1007,103.928797244614,1.35062421089775
62,"1,164",544817,1164,103.89121456861,1.3808164019305
63,"1,082",828621,1082,103.897912480011,1.41045366869115
64,"1,040",828626,1040,103.89870424774,1.41086544560675
65,"1,152",828624,1152,103.898770474499,1.4103238006296
66,"1,009",828621,1009,103.897912480011,1.41045366869115
67,"1,060",828626,1060,103.89870424774,1.41086544560675
68,"1,060",828625,1060,103.899000266845,1.41022470210924
69,"1,211",579820,1211,103.852579052033,1.34682504729818
70,"1,135",828678,1135,103.897729871814,1.41004661839987
71,"1,140",828678,1140,103.897729871814,1.41004661839987
72,"1,105",579820,1105,103.852579052033,1.34682504729818
73,"1,105",828627,1105,103.898959874347,1.41069269259053
74,"1,126",828619,1126,103.898440391828,1.41000603600091
75,"1,011",828816,1011,103.903987598273,1.40103681871037
76,"1,108",828626,1108,103.89870424774,1.41086544560675
77,"1,182",544817,1182,103.89121456861,1.3808164019305
78,"1,205",828624,1205,103.898770474499,1.4103238006296
79,"1,128",828626,1128,103.89870424774,1.41086544560675
80,"1,153",828678,1153,103.897729871814,1.41004661839987
81,"1,086",544818,1086,103.890981111256,1.38095789348656
82,"1,092",828622,1092,103.898191615557,1.41046826341768
83,"1,024",828626,1024,103.89870424774,1.41086544560675
84,"1,130",828678,1130,103.897729871814,1.41004661839987
85,"1,197",828624,1197,103.898770474499,1.4103238006296
86,"1,079",828626,1079,103.89870424774,1.41086544560675
87,"1,011",828817,1011,103.904338396376,1.40148828471593
88,"1,058",828626,1058,103.89870424774,1.41086544560675
89,"1,043",828817,1043,103.904338396376,1.40148828471593
90,"1,079",828809,1079,103.904699765872,1.40067629313894
91,"1,099",828626,1099,103.89870424774,1.41086544560675
92,"1,146",544818,1146,103.890981111256,1.38095789348656
93,"1,131",828627,1131,103.898959874347,1.41069269259053
94,"1,096",828626,1096,103.89870424774,1.41086544560675
95,"1,061",828626,1061,103.89870424774,1.41086544560675
96,"1,020",828626,1020,103.89870424774,1.41086544560675
97,"1,089",828626,1089,103.89870424774,1.41086544560675
98,"1,140",828627,1140,103.898959874347,1.41069269259053
99,"1,092",828621,1092,103.897912480011,1.41045366869115
100,"1,106",828677,1106,103.897463964435,1.40985036008126
101,"1,147",828622,1147,103.898191615557,1.41046826341768
102,"1,067",828678,1067,103.897729871814,1.41004661839987
103,"1,137",828624,1137,103.898770474499,1.4103238006296
104,"1,121",828621,1121,103.897912480011,1.41045366869115
105,"1,018",828817,1018,103.904338396376,1.40148828471593
106,"1,020",828809,1020,103.904699765872,1.40067629313894
107,"1,063",828626,1063,103.89870424774,1.41086544560675
108,"1,020",828677,1020,103.897463964435,1.40985036008126
109,"1,054",828626,1054,103.89870424774,1.41086544560675
110,"1,064",828678,1064,103.897729871814,1.41004661839987
111,"1,101",828620,1101,103.898675751102,1.40980879054618
112,"1,134",828625,1134,103.899000266845,1.41022470210924
113,"1,138",544818,1138,103.890981111256,1.38095789348656
114,"1,052",828626,1052,103.89870424774,1.41086544560675
115,"1,106",828620,1106,103.898675751102,1.40980879054618
116,"1,108",828619,1108,103.898440391828,1.41000603600091
117,"1,037",528773,1037,103.939927469103,1.35925068281713
118,"1,052",828626,1052,103.89870424774,1.41086544560675
119,"1,017",828626,1017,103.89870424774,1.41086544560675
120,"1,121",756948,1121,103.828324723249,1.447530196177
121,"1,151",756950,1151,103.828782765957,1.4478061598991
122,"1,107",756950,1107,103.828782765957,1.4478061598991
123,"1,125",756948,1125,103.828324723249,1.447530196177
124,"1,168",756948,1168,103.828324723249,1.447530196177
125,"1,129",757065,1129,103.828596342608,1.44712019342923
126,"1,119",756950,1119,103.828782765957,1.4478061598991
127,"1,115",756950,1115,103.828782765957,1.4478061598991
128,"1,073",756950,1073,103.828782765957,1.4478061598991
129,"1,054",756950,1054,103.828782765957,1.4478061598991
130,"1,089",756950,1089,103.828782765957,1.4478061598991
131,"1,065",756950,1065,103.828782765957,1.4478061598991
132,"1,037",756950,1037,103.828782765957,1.4478061598991
133,"1,142",756950,1142,103.828782765957,1.4478061598991
134,"1,151",756948,1151,103.828324723249,1.447530196177
135,"1,099",756950,1099,103.828782765957,1.4478061598991
136,"1,117",756947,1117,103.828115526598,1.44739595721031
137,"1,161",756950,1161,103.828782765957,1.4478061598991
138,"1,078",756949,1078,103.828534542516,1.44765923913234
139,"1,050",756950,1050,103.828782765957,1.4478061598991
140,"1,070",756950,1070,103.828782765957,1.4478061598991
141,"1,034",757066,1034,103.82838783219,1.4469923338283
142,"1,147",757066,1147,103.82838783219,1.4469923338283
143,"1,151",756949,1151,103.828534542516,1.44765923913234
144,"1,065",756949,1065,103.828534542516,1.44765923913234
