Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
HIGH STREET PLAZA,"720,000",312.16,"2,307",25 May 2018,77 HIGH STREET #08-14,Resale,Strata,29,"24,828",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PEOPLE'S PARK CENTRE,"730,000",333.68,"2,188",28 May 2018,101 UPPER CROSS STREET #B1-25,Resale,Strata,31,"23,548",Office,99 yrs from 02/06/1970,01,05,058357,Central Region,Outram
EON SHENTON,"2,640,000","1,033.34","2,555",30 May 2018,"70 SHENTON WAY #15-11,12",New Sale,Strata,96,"27,500",Office,99 yrs from 06/10/2011,02,07,079118,Central Region,Downtown Core
HIGH STREET PLAZA,"1,020,000",484.38,"2,106",31 May 2018,77 HIGH STREET #05-10,Resale,Strata,45,"22,667",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
SIM LIM TOWER,"900,600",473.62,"1,902",01 Jun 2018,10 JALAN BESAR #09-03,Resale,Strata,44,"20,468",Office,Freehold,08,20,208787,Central Region,Rochor
HIGH STREET PLAZA,"640,000",322.92,"1,982",01 Jun 2018,77 HIGH STREET #05-14,Resale,Strata,30,"21,333",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
SOUTHBANK,"960,000",527.44,"1,820",04 Jun 2018,883 NORTH BRIDGE ROAD #03-03,Resale,Strata,49,"19,592",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
TEXTILE CENTRE,"926,000",882.65,"1,049",04 Jun 2018,200 JALAN SULTAN #02-28,Resale,Strata,82,"11,293",Office,99 yrs from 02/06/1970,07,19,199018,Central Region,Kallang
PAYA LEBAR SQUARE,"1,010,000",484.38,"2,085",04 Jun 2018,60 PAYA LEBAR ROAD #13-21,Resale,Strata,45,"22,444",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WOODS SQUARE,"1,093,690",559.73,"1,954",05 Jun 2018,12 WOODLANDS SQUARE #05-66,New Sale,Strata,52,"21,033",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
THE CENTRAL,"1,250,000",635.08,"1,968",07 Jun 2018,12 EU TONG SEN STREET #06-170,Resale,Strata,59,"21,186",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
N.A.,"4,300,000","1,668.42","2,577",08 Jun 2018,36 ARMENIAN STREET #06-11,Resale,Strata,155,"27,742",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
HIGH STREET PLAZA,"609,000",312.16,"1,951",12 Jun 2018,77 HIGH STREET #02-12,Resale,Strata,29,"21,000",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
TONG ENG BUILDING,"1,500,000",602.78,"2,488",12 Jun 2018,101 CECIL STREET #16-06,Resale,Strata,56,"26,786",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
FORTUNE CENTRE,"950,000",570.49,"1,665",12 Jun 2018,190 MIDDLE ROAD #12-09,Resale,Strata,53,"17,925",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
INTERNATIONAL PLAZA,"18,180,000","11,269.91","1,613",12 Jun 2018,"10 ANSON ROAD #26-06,15,16 ETC",Resale,Strata,"1,047","17,364",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
VISION EXCHANGE,"1,200,000",516.67,"2,323",18 Jun 2018,2 VENTURE DRIVE #15-06,Resale,Strata,48,"25,000",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
WOODS SQUARE,"1,008,000",559.73,"1,801",18 Jun 2018,12 WOODLANDS SQUARE #02-79,New Sale,Strata,52,"19,385",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
EON SHENTON,"1,250,000",505.91,"2,471",18 Jun 2018,70 SHENTON WAY #15-03,Sub Sale,Strata,47,"26,596",Office,99 yrs from 06/10/2011,02,07,079118,Central Region,Downtown Core
SPRINGLEAF TOWER,"54,204,573","20,828.34","2,602",18 Jun 2018,3 ANSON ROAD #22-01 ETC,Resale,Strata,"1,935","28,013",Office,99 yrs from 01/10/1996,02,07,079909,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,068,000",516.67,"2,067",19 Jun 2018,60 PAYA LEBAR ROAD #06-39,Resale,Strata,48,"22,250",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
EVERSHINE AND CENTURY COMPLEX,"4,554,000","2,529.54","1,800",19 Jun 2018,43C BEACH ROAD,Resale,Strata,235,"19,379",Office,999 yrs from 25/01/1827,07,18,189681,Central Region,Downtown Core
GRANDLINK SQUARE,"888,000",409.03,"2,171",19 Jun 2018,511 GUILLEMARD ROAD #02-14,Resale,Strata,38,"23,368",Office,Freehold,14,39,399849,Central Region,Geylang
INTERNATIONAL PLAZA,"1,782,500",990.29,"1,800",20 Jun 2018,10 ANSON ROAD #30-01,Resale,Strata,92,"19,375",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,782,500",990.29,"1,800",20 Jun 2018,10 ANSON ROAD #30-13,Resale,Strata,92,"19,375",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
SULTAN PLAZA,"438,000",236.81,"1,850",20 Jun 2018,100 JALAN SULTAN #04-42,Resale,Strata,22,"19,909",Office,99 yrs from 02/05/1978,07,19,199001,Central Region,Kallang
INTERNATIONAL PLAZA,"1,685,600",936.47,"1,800",21 Jun 2018,10 ANSON ROAD #30-09,Resale,Strata,87,"19,375",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
MYP PLAZA,"247,000,000","8,010.57","30,834",22 Jun 2018,135 CECIL STREET,Resale,Land,744.2,"331,900",Office,Freehold,01,06,069536,Central Region,Downtown Core
ICON@CHANGI,"540,000",365.98,"1,476",25 Jun 2018,228 CHANGI ROAD #04-05,Resale,Strata,34,"15,882",Office,Freehold,14,41,419741,Central Region,Geylang
INTERNATIONAL PLAZA,"1,650,000",936.47,"1,762",26 Jun 2018,10 ANSON ROAD #20-12,Resale,Strata,87,"18,966",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
KATONG PLAZA,"570,000",182.99,"3,115",26 Jun 2018,1 BROOKE ROAD #03-10,Resale,Strata,17,"33,529",Office,9999 yrs from 01/01/1980,15,42,429979,Central Region,Marine Parade
TWENTY ANSON,"516,000,000","27,281.36","18,914",29 Jun 2018,20 ANSON ROAD,Resale,Land,"2,534.5","203,590",Office,99 yrs from 23/11/2007,02,07,079912,Central Region,Downtown Core
SOHO LIFE,"638,000",419.8,"1,520",29 Jun 2018,216 JOO CHIAT ROAD #04-20,Resale,Strata,39,"16,359",Office,Freehold,15,42,427483,Central Region,Geylang
TEAMBUILD CENTRE,"700,000","1,033.34",677,29 Jun 2018,701 GEYLANG ROAD #02-06,Resale,Strata,96,"7,292",Office,99 yrs from 19/02/2001,14,38,389687,Central Region,Geylang
WOODS SQUARE,"1,819,960",882.65,"2,062",02 Jul 2018,10 WOODLANDS SQUARE #03-42,New Sale,Strata,82,"22,195",Office,99 yrs from 15/07/2014,25,73,737714,North Region,Woodlands
GOLDHILL PLAZA,"4,250,000","2,378.84","1,787",02 Jul 2018,"1 GOLDHILL PLAZA #03-35,37",Resale,Strata,221,"19,231",Office,999 yrs from 01/01/1976,11,30,308899,Central Region,Novena
THE CENTRAL,"1,580,000",645.84,"2,446",03 Jul 2018,8 EU TONG SEN STREET #18-83,Resale,Strata,60,"26,333",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
MAXWELL HOUSE,"615,000",387.5,"1,587",04 Jul 2018,20 MAXWELL ROAD #03-07,Resale,Strata,36,"17,083",Office,99 yrs from 02/06/1969,01,06,069113,Central Region,Outram
MAXWELL HOUSE,"615,000",387.5,"1,587",04 Jul 2018,20 MAXWELL ROAD #03-06,Resale,Strata,36,"17,083",Office,99 yrs from 02/06/1969,01,06,069113,Central Region,Outram
HIGH STREET PLAZA,"630,000",301.39,"2,090",06 Jul 2018,77 HIGH STREET #04-08,Resale,Strata,28,"22,500",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
111 SOMERSET,"3,552,120","1,345.5","2,640",06 Jul 2018,111 SOMERSET ROAD #08-07,New Sale,Strata,125,"28,417",Office,99 yrs from 19/02/1975,09,23,238164,Central Region,Orchard
SINSOV BUILDING,"216,800,000","6,574.65","32,975",09 Jul 2018,55 MARKET STREET,Resale,Land,610.8,"354,944",Office,999 yrs from 20/04/1826,01,04,048941,Central Region,Downtown Core
INTERNATIONAL PLAZA,"2,397,600","1,453.14","1,650",10 Jul 2018,10 ANSON ROAD #21-15,Resale,Strata,135,"17,760",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"3,889,500","2,357.32","1,650",10 Jul 2018,10 ANSON ROAD #21-14,Resale,Strata,219,"17,760",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
FOOK HAI BUILDING,"505,000",301.39,"1,676",10 Jul 2018,150 SOUTH BRIDGE ROAD #03-08,Resale,Strata,28,"18,036",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
CHINATOWN POINT,"4,350,000","2,486.48","1,749",10 Jul 2018,"133 NEW BRIDGE ROAD #19-03,04,05",Resale,Strata,231,"18,831",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
THE ADELPHI,"3,817,110","1,614.6","2,364",11 Jul 2018,1 COLEMAN STREET #08-05,Resale,Strata,150,"25,447",Office,999 yrs from 12/05/1828,06,17,179803,Central Region,Downtown Core
CENTRIUM SQUARE,"1,881,644",721.19,"2,609",12 Jul 2018,320 SERANGOON ROAD #13-02,New Sale,Strata,67,"28,084",Office,Freehold,08,21,218108,Central Region,Kallang
INTERNATIONAL PLAZA,"3,866,000","2,357.32","1,640",12 Jul 2018,"10 ANSON ROAD #33-06,6A,6B",Resale,Strata,219,"17,653",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
CENTRIUM SQUARE,"2,506,803",990.29,"2,531",16 Jul 2018,320 SERANGOON ROAD #13-01,New Sale,Strata,92,"27,248",Office,Freehold,08,21,218108,Central Region,Kallang
WOODS SQUARE,"2,587,032","1,345.5","1,923",18 Jul 2018,12 WOODLANDS SQUARE #07-69,New Sale,Strata,125,"20,696",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
REGENCY SUITES,"1,168,000",592.02,"1,973",23 Jul 2018,38 KIM TIAN ROAD #03-06,Resale,Strata,55,"21,236",Office,Freehold,03,16,169262,Central Region,Bukit Merah
FAR EAST SHOPPING CENTRE,"850,000",269.1,"3,159",23 Jul 2018,545 ORCHARD ROAD #05-19,Resale,Strata,25,"34,000",Office,999 yrs from 30/10/1871,09,23,238882,Central Region,Orchard
SHENTON HOUSE,"1,800,000",947.23,"1,900",24 Jul 2018,3 SHENTON WAY #09-04,Resale,Strata,88,"20,455",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
CONCORDE SHOPPING CENTRE,"545,000",301.39,"1,808",27 Jul 2018,317 OUTRAM ROAD #02-58,Resale,Strata,28,"19,464",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
CROWN AT ROBINSON,"3,080,000",925.7,"3,327",27 Jul 2018,140 ROBINSON ROAD #09-08,Resale,Strata,86,"35,814",Office,Freehold,01,06,068907,Central Region,Downtown Core
INTERNATIONAL PLAZA,"2,470,300","1,453.14","1,700",30 Jul 2018,10 ANSON ROAD #12-07,Resale,Strata,135,"18,299",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
WOODS SQUARE,"2,922,570","1,506.96","1,939",30 Jul 2018,"12 WOODLANDS SQUARE #07-75,76",New Sale,Strata,140,"20,876",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SHENTON HOUSE,"837,900",441.32,"1,899",31 Jul 2018,3 SHENTON WAY #22-07,Resale,Strata,41,"20,437",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
PARKLANE SHOPPING MALL,"600,000",516.67,"1,161",31 Jul 2018,35 SELEGIE ROAD #09-21,Resale,Strata,48,"12,500",Office,99 yrs from 01/12/1974,07,18,188307,Central Region,Rochor
TONG ENG BUILDING,"3,050,888","1,227.1","2,486",01 Aug 2018,101 CECIL STREET #09-01,Resale,Strata,114,"26,762",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
INTERNATIONAL PLAZA,"3,861,000","2,357.32","1,638",01 Aug 2018,10 ANSON ROAD #23-06,Resale,Strata,219,"17,630",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"3,740,900","2,357.32","1,587",02 Aug 2018,10 ANSON ROAD #12-06,Resale,Strata,219,"17,082",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"3,740,900","2,357.32","1,587",02 Aug 2018,10 ANSON ROAD #14-08,Resale,Strata,219,"17,082",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"3,740,900","2,357.32","1,587",02 Aug 2018,10 ANSON ROAD #12-08,Resale,Strata,219,"17,082",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
TELOK BLANGAH HOUSE,"1,266,000",839.59,"1,508",03 Aug 2018,52 TELOK BLANGAH ROAD #03-06,Resale,Strata,78,"16,231",Office,Freehold,04,09,098829,Central Region,Bukit Merah
CHINATOWN POINT,"1,875,000","1,087.16","1,725",03 Aug 2018,133 NEW BRIDGE ROAD #10-10,Resale,Strata,101,"18,564",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
PAYA LEBAR SQUARE,"1,894,000",947.23,"2,000",07 Aug 2018,60 PAYA LEBAR ROAD #10-38,Resale,Strata,88,"21,523",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
SUNTEC CITY,"5,550,000","2,195.86","2,527",07 Aug 2018,9 TEMASEK BOULEVARD #36-02A,Resale,Strata,204,"27,206",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
ICON@CHANGI,"540,000",365.98,"1,476",10 Aug 2018,228 CHANGI ROAD #04-06,Resale,Strata,34,"15,882",Office,Freehold,14,41,419741,Central Region,Geylang
INTERNATIONAL PLAZA,"1,720,000",936.47,"1,837",13 Aug 2018,"10 ANSON ROAD #27-05,05A",Resale,Strata,87,"19,770",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
ORCHARD TOWERS,"1,400,000",645.84,"2,168",13 Aug 2018,400 ORCHARD ROAD #06-19,Resale,Strata,60,"23,333",Office,Freehold,09,23,238875,Central Region,Orchard
INTERNATIONAL PLAZA,"4,088,000","2,335.79","1,750",16 Aug 2018,10 ANSON ROAD #33-14,Resale,Strata,217,"18,839",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"4,088,000","2,335.79","1,750",16 Aug 2018,10 ANSON ROAD #33-16,Resale,Strata,217,"18,839",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"3,297,000","1,883.7","1,750",16 Aug 2018,10 ANSON ROAD #33-15,Resale,Strata,175,"18,840",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,732,500",990.29,"1,749",16 Aug 2018,"10 ANSON ROAD #33-01,01A",Resale,Strata,92,"18,832",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
SPCS BUILDING,"4,812,600","1,851.41","2,599",16 Aug 2018,250 SIMS AVENUE #01-01,Resale,Strata,172,"27,980",Office,Freehold,14,38,387513,Central Region,Geylang
ORCHARD TOWERS,"840,000",398.27,"2,109",17 Aug 2018,400 ORCHARD ROAD #12-12,Resale,Strata,37,"22,703",Office,Freehold,09,23,238875,Central Region,Orchard
ARC 380,"1,939,800",731.95,"2,650",20 Aug 2018,380 JALAN BESAR #05-04,Resale,Strata,68,"28,526",Office,Freehold,08,20,209000,Central Region,Kallang
THE PLAZA,"626,681",505.91,"1,239",23 Aug 2018,7500A BEACH ROAD #12-316,Resale,Strata,47,"13,334",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
THE PLAZA,"853,326",688.9,"1,239",23 Aug 2018,7500A BEACH ROAD #12-317,Resale,Strata,64,"13,333",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Kallang
CONCORDE SHOPPING CENTRE,"280,000",193.75,"1,445",27 Aug 2018,317 OUTRAM ROAD #B1-39,Resale,Strata,18,"15,556",Office,99 yrs from 16/06/1980,03,16,169075,Central Region,Bukit Merah
111 SOMERSET,"2,538,576",947.23,"2,680",28 Aug 2018,111 SOMERSET ROAD #09-07,New Sale,Strata,88,"28,847",Office,99 yrs from 19/02/1975,09,23,238164,Central Region,Orchard
111 SOMERSET,"2,538,576",947.23,"2,680",28 Aug 2018,111 SOMERSET ROAD #09-08,New Sale,Strata,88,"28,847",Office,99 yrs from 19/02/1975,09,23,238164,Central Region,Orchard
HIGH STREET CENTRE,"1,375,500",785.77,"1,751",28 Aug 2018,1 NORTH BRIDGE ROAD #22-10,Resale,Strata,73,"18,842",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
PARKWAY PARADE,"2,500,000","1,593.07","1,569",29 Aug 2018,80 MARINE PARADE ROAD #11-02,Resale,Strata,148,"16,892",Office,99 yrs from 17/08/1979,15,44,449269,Central Region,Marine Parade
THE CENTRAL,"2,025,000",925.7,"2,188",30 Aug 2018,8 EU TONG SEN STREET #24-84,Resale,Strata,86,"23,547",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
WOODS SQUARE,"1,129,949",559.73,"2,019",03 Sep 2018,12 WOODLANDS SQUARE #05-87,New Sale,Strata,52,"21,730",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
WOODS SQUARE,"1,129,949",559.73,"2,019",03 Sep 2018,12 WOODLANDS SQUARE #05-85,New Sale,Strata,52,"21,730",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
WOODS SQUARE,"1,129,949",559.73,"2,019",03 Sep 2018,12 WOODLANDS SQUARE #05-86,New Sale,Strata,52,"21,730",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
BYLANDS BUILDING,"460,000",269.1,"1,709",05 Sep 2018,135 MIDDLE ROAD #04-10,Resale,Strata,25,"18,400",Office,99 yrs from 02/05/1978,07,18,188975,Central Region,Rochor
TONG ENG BUILDING,"1,158,888",462.85,"2,504",07 Sep 2018,101 CECIL STREET #12-04,Resale,Strata,43,"26,951",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
TONG ENG BUILDING,"2,018,888",807.3,"2,501",07 Sep 2018,101 CECIL STREET #12-05,Resale,Strata,75,"26,919",Office,999 yrs from 08/06/1885,01,06,069533,Central Region,Downtown Core
THE ARIZON,"1,200,000","1,151.75","1,042",10 Sep 2018,538 GEYLANG ROAD #02-09,Resale,Strata,107,"11,215",Office,Freehold,14,38,389493,Central Region,Geylang
PEOPLE'S PARK CENTRE,"1,250,000",839.59,"1,489",10 Sep 2018,101A UPPER CROSS STREET #13-15,Resale,Strata,78,"16,026",Office,99 yrs from 02/06/1970,01,05,058358,Central Region,Outram
GB BUILDING,"9,117,500","5,209.78","1,750",11 Sep 2018,"143 CECIL STREET #09-01,02,03,04",Resale,Strata,484,"18,838",Office,99 yrs from 12/10/1982,01,06,069542,Central Region,Downtown Core
THE CENTRAL,"1,555,000",645.84,"2,408",13 Sep 2018,8 EU TONG SEN STREET #18-86,Resale,Strata,60,"25,917",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"1,560,000",635.08,"2,456",13 Sep 2018,6 EU TONG SEN STREET #10-12,Resale,Strata,59,"26,441",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
SUNTEC CITY,"29,479,000","14,380.7","2,050",14 Sep 2018,"7 TEMASEK BOULEVARD #10-01,02,03",Resale,Strata,"1,336","22,065",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
INTERNATIONAL PLAZA,"2,688,000","1,453.14","1,850",14 Sep 2018,10 ANSON ROAD #15-20,Resale,Strata,135,"19,911",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
UNION BUILDING,"785,700",387.5,"2,028",17 Sep 2018,171 TRAS STREET #09-177,Resale,Strata,36,"21,825",Office,Freehold,02,07,079025,Central Region,Downtown Core
SBF CENTER,"2,330,000",753.48,"3,092",18 Sep 2018,160 ROBINSON ROAD #20-03,Resale,Strata,70,"33,286",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
THE ARIZON,"1,200,000","1,151.75","1,042",18 Sep 2018,538 GEYLANG ROAD #02-14,Resale,Strata,107,"11,215",Office,Freehold,14,38,389493,Central Region,Geylang
THE CENTRAL,"6,600,000","2,368.08","2,787",21 Sep 2018,"8 EU TONG SEN STREET #12-96,97",Resale,Strata,220,"30,000",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
FORTUNE CENTRE,"3,166,000","2,217.38","1,428",24 Sep 2018,190 MIDDLE ROAD #13-01,Resale,Strata,206,"15,369",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
HIGH STREET PLAZA,"602,778",301.39,"2,000",24 Sep 2018,77 HIGH STREET #01-10,Resale,Strata,28,"21,528",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
HIGH STREET CENTRE,"638,000",409.03,"1,560",24 Sep 2018,1 NORTH BRIDGE ROAD #02-15,Resale,Strata,38,"16,789",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
ORCHARD TOWERS,"700,000",322.92,"2,168",24 Sep 2018,400 ORCHARD ROAD #06-02,Resale,Strata,30,"23,333",Office,Freehold,09,23,238875,Central Region,Orchard
SINGAPORE SHOPPING CENTRE,"10,000,000","7,061.18","1,416",27 Sep 2018,"190 CLEMENCEAU AVENUE #02-01, 02,03,11 ETC",Resale,Strata,656,"15,244",Office,99 yrs from 01/05/1948,09,23,239924,Central Region,Museum
THE ARIZON,"1,100,000","1,259.39",873,28 Sep 2018,538 GEYLANG ROAD #02-16,Resale,Strata,117,"9,402",Office,Freehold,14,38,389493,Central Region,Geylang
INTERNATIONAL PLAZA,"1,660,000",936.47,"1,773",28 Sep 2018,10 ANSON ROAD #23-11,Resale,Strata,87,"19,080",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
INTERNATIONAL PLAZA,"900,000",462.85,"1,944",28 Sep 2018,10 ANSON ROAD #16-05,Resale,Strata,43,"20,930",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
GOLDHILL PLAZA,"2,300,000","1,216.33","1,891",03 Oct 2018,1 GOLDHILL PLAZA #02-33,Resale,Strata,113,"20,354",Office,Freehold,11,30,308899,Central Region,Novena
N.A.,"1,894,000",592.02,"3,199",04 Oct 2018,160 ROBINSON ROAD #20-07,Resale,Strata,55,"34,436",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
INTERNATIONAL PLAZA,"1,000,000",473.62,"2,111",04 Oct 2018,10 ANSON ROAD #21-10A,Resale,Strata,44,"22,727",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
HAVELOCK2,"1,240,000",613.55,"2,021",08 Oct 2018,2 HAVELOCK ROAD #04-10,Resale,Strata,57,"21,754",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
FORTUNE CENTRE,"2,330,000","1,679.18","1,388",08 Oct 2018,190 MIDDLE ROAD #10-06,Resale,Strata,156,"14,936",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
PENINSULA PLAZA,"1,248,000",624.31,"1,999",09 Oct 2018,"111 NORTH BRIDGE ROAD #07-05,06",Resale,Strata,58,"21,517",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
INTERNATIONAL PLAZA,"448,000",161.46,"2,775",09 Oct 2018,10 ANSON ROAD #32-18,Resale,Strata,15,"29,867",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
THE OCTAGON,"5,617,850","2,292.73","2,450",10 Oct 2018,105 CECIL STREET #05-00,Resale,Strata,213,"26,375",Office,Freehold,01,06,069534,Central Region,Downtown Core
PAYA LEBAR SQUARE,"2,490,000","1,356.26","1,836",11 Oct 2018,60 PAYA LEBAR ROAD #04-17,Resale,Strata,126,"19,762",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
CENTRIUM SQUARE,"2,527,100","1,011.82","2,498",12 Oct 2018,320 SERANGOON ROAD #11-13,New Sale,Strata,94,"26,884",Office,Freehold,08,21,218108,Central Region,Kallang
HIGH STREET PLAZA,"1,880,320",904.18,"2,080",15 Oct 2018,"77 HIGH STREET #03-13,14",Resale,Strata,84,"22,385",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
INTERNATIONAL PLAZA,"900,000",473.62,"1,900",16 Oct 2018,10 ANSON ROAD #16-19,Resale,Strata,44,"20,455",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
UNION BUILDING,"3,450,000","1,991.34","1,733",16 Oct 2018,171 TRAS STREET #10-179,Resale,Strata,185,"18,649",Office,Freehold,02,07,079025,Central Region,Downtown Core
PAYA LEBAR SQUARE,"4,351,600","2,023.63","2,150",17 Oct 2018,"60 PAYA LEBAR ROAD #08-32,33,34",Resale,Strata,188,"23,147",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
N.A.,"2,800,000","1,517.72","1,845",19 Oct 2018,36 ARMENIAN STREET #04-08,Resale,Strata,141,"19,858",Office,99 yrs from 21/09/2007,06,17,179934,Central Region,Museum
THE MODULES,"753,000",538.2,"1,399",22 Oct 2018,387 JOO CHIAT ROAD #01-01,Resale,Strata,50,"15,060",Office,Freehold,15,42,427623,Central Region,Marine Parade
WOODS SQUARE,"1,105,209",559.73,"1,975",22 Oct 2018,12 WOODLANDS SQUARE #05-64,New Sale,Strata,52,"21,254",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SAMSUNG HUB,"10,805,400","3,132.32","3,450",23 Oct 2018,3 CHURCH STREET #12-02,Resale,Strata,291,"37,132",Office,999 yrs from 25/01/1827,01,04,049483,Central Region,Downtown Core
WOODS SQUARE,"1,111,315",559.73,"1,985",23 Oct 2018,12 WOODLANDS SQUARE #04-87,New Sale,Strata,52,"21,371",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
INTERNATIONAL PLAZA,"1,740,000",936.47,"1,858",25 Oct 2018,"10 ANSON ROAD #23-01,01A",Resale,Strata,87,"20,000",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
PAYA LEBAR SQUARE,"970,000",505.91,"1,917",26 Oct 2018,60 PAYA LEBAR ROAD #05-34,Resale,Strata,47,"20,638",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
VISION EXCHANGE,"1,750,000",764.24,"2,290",29 Oct 2018,2 VENTURE DRIVE #12-11,Resale,Strata,71,"24,648",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
INTERNATIONAL PLAZA,"1,660,000",936.47,"1,773",29 Oct 2018,10 ANSON ROAD #23-12,Resale,Strata,87,"19,080",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
